"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"Ultralente Insulin, Human 100 UNT/ML [Humulin U Ultralente]",2000010001,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Ultralente Humulin Insulin 100 units per ml","1970-01-01","2099-12-31",,19120831,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Vitamin B 12 0.5 MG/ACTUAT Nasal Spray [Nascobal]",2000010002,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Nascobal 500mcg","1970-01-01","2099-12-31",,40165411,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Brimonidine tartrate 2 MG/ML / Timolol 5 MG/ML [Combigan]",2000010003,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Combigan 0.2-0.5%","1970-01-01","2099-12-31",,40164140,"Maps to","Mapped from","1970-01-01","2099-12-31",
"2.5 ML defibrotide sodium 80 MG/ML Injection",2000010004,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Defibrotide <IND> 80 mg / mL - 2.5 mL Amp","1970-01-01","2099-12-31",,35603976,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Budesonide 0.5 MG/ML",2000010005,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Budesonide (Nasal) 0.5mg","1970-01-01","2099-12-31",,939422,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Carbidopa Oral Tablet [Lodosyn]",2000010006,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Lodosyn 5O MG","1970-01-01","2099-12-31",,40021550,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetylcysteine 100 MG/ML",2000010007,"mimiciv_drug_ndc","Drug","Prescription Drug",,"acetylcysteine 100 mg/ml","1970-01-01","2099-12-31",,19095712,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Budesonide 0.25 MG/ML",2000010008,"mimiciv_drug_ndc","Drug","Prescription Drug",,"budesonide 0.5 mg/2 mL Neb Suspension","1970-01-01","2099-12-31",,939398,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Maprotiline",2000010009,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Maprotiline HCl 100","1970-01-01","2099-12-31",,794147,"Maps to","Mapped from","1970-01-01","2099-12-31",
"budesonide",2000010010,"mimiciv_drug_ndc","Drug","Prescription Drug",,"Pulmicort ea","1970-01-01","2099-12-31",,939259,"Maps to","Mapped from","1970-01-01","2099-12-31",
