"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"IV",2000002001,"mimiciv_drug_route","Route","Qualifier Value",,"IV","1970-01-01","2099-12-31",,4171047,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PO/NG",2000002002,"mimiciv_drug_route","Route","Qualifier Value",,"PO/NG","1970-01-01","2099-12-31",,4167540,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PO",2000002003,"mimiciv_drug_route","Route","Qualifier Value",,"PO","1970-01-01","2099-12-31",,4132161,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SC",2000002004,"mimiciv_drug_route","Route","Qualifier Value",,"SC","1970-01-01","2099-12-31",,4142048,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IV DRIP",2000002005,"mimiciv_drug_route","Route","Qualifier Value",,"IV DRIP","1970-01-01","2099-12-31",,4171047,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IM",2000002006,"mimiciv_drug_route","Route","Qualifier Value",,"IM","1970-01-01","2099-12-31",,4302612,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IH",2000002007,"mimiciv_drug_route","Route","Qualifier Value",,"IH","1970-01-01","2099-12-31",,45956874,"Maps to","Mapped from","1970-01-01","2099-12-31",
"TP",2000002008,"mimiciv_drug_route","Route","Qualifier Value",,"TP","1970-01-01","2099-12-31",,4263689,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PR",2000002009,"mimiciv_drug_route","Route","Qualifier Value",,"PR","1970-01-01","2099-12-31",,4290759,"Maps to","Mapped from","1970-01-01","2099-12-31",
"BOTH EYES",2000002010,"mimiciv_drug_route","Route","Qualifier Value",,"BOTH EYES","1970-01-01","2099-12-31",,4184451,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ORAL",2000002011,"mimiciv_drug_route","Route","Qualifier Value",,"ORAL","1970-01-01","2099-12-31",,4132161,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IVPCA",2000002012,"mimiciv_drug_route","Route","Qualifier Value",,"IVPCA","1970-01-01","2099-12-31",,4171047,"Maps to","Mapped from","1970-01-01","2099-12-31",
"TD",2000002013,"mimiciv_drug_route","Route","Qualifier Value",,"TD","1970-01-01","2099-12-31",,4262099,"Maps to","Mapped from","1970-01-01","2099-12-31",
"NG",2000002014,"mimiciv_drug_route","Route","Qualifier Value",,"NG","1970-01-01","2099-12-31",,4132711,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ED",2000002015,"mimiciv_drug_route","Route","Qualifier Value",,"ED","1970-01-01","2099-12-31",,4225555,"Maps to","Mapped from","1970-01-01","2099-12-31",
"NEB",2000002016,"mimiciv_drug_route","Route","Qualifier Value",,"NEB","1970-01-01","2099-12-31",,45956874,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IV BOLUS",2000002017,"mimiciv_drug_route","Route","Qualifier Value",,"IV BOLUS","1970-01-01","2099-12-31",,4171047,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SL",2000002018,"mimiciv_drug_route","Route","Qualifier Value",,"SL","1970-01-01","2099-12-31",,4292110,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SUBCUT",2000002019,"mimiciv_drug_route","Route","Qualifier Value",,"SUBCUT","1970-01-01","2099-12-31",,4142048,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ID",2000002020,"mimiciv_drug_route","Route","Qualifier Value",,"ID","1970-01-01","2099-12-31",,4156706,"Maps to","Mapped from","1970-01-01","2099-12-31",
"DIALYS",2000002021,"mimiciv_drug_route","Route","Qualifier Value",,"DIALYS","1970-01-01","2099-12-31",,45956871,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PIV",2000002022,"mimiciv_drug_route","Route","Qualifier Value",,"PIV","1970-01-01","2099-12-31",,4171884,"Maps to","Mapped from","1970-01-01","2099-12-31",
"RIGHT EYE",2000002023,"mimiciv_drug_route","Route","Qualifier Value",,"RIGHT EYE","1970-01-01","2099-12-31",,4184451,"Maps to","Mapped from","1970-01-01","2099-12-31",
"LEFT EYE",2000002024,"mimiciv_drug_route","Route","Qualifier Value",,"LEFT EYE","1970-01-01","2099-12-31",,4184451,"Maps to","Mapped from","1970-01-01","2099-12-31",
"OU",2000002025,"mimiciv_drug_route","Route","Qualifier Value",,"OU","1970-01-01","2099-12-31",,4184451,"Maps to","Mapped from","1970-01-01","2099-12-31",
"LOCK",2000002026,"mimiciv_drug_route","Route","Qualifier Value",,"LOCK","1970-01-01","2099-12-31",,35631981,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IT",2000002027,"mimiciv_drug_route","Route","Qualifier Value",,"IT","1970-01-01","2099-12-31",,4217202,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PL",2000002028,"mimiciv_drug_route","Route","Qualifier Value",,"PL","1970-01-01","2099-12-31",,4156707,"Maps to","Mapped from","1970-01-01","2099-12-31",
"PERIPHNERVE",2000002029,"mimiciv_drug_route","Route","Qualifier Value",,"PERIPHNERVE","1970-01-01","2099-12-31",,4157761,"Maps to","Mapped from","1970-01-01","2099-12-31",
"INHALATION",2000002030,"mimiciv_drug_route","Route","Qualifier Value",,"INHALATION","1970-01-01","2099-12-31",,45956874,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ET",2000002031,"mimiciv_drug_route","Route","Qualifier Value",,"ET","1970-01-01","2099-12-31",,4186832,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IP",2000002032,"mimiciv_drug_route","Route","Qualifier Value",,"IP","1970-01-01","2099-12-31",,4243022,"Maps to","Mapped from","1970-01-01","2099-12-31",
"VG",2000002033,"mimiciv_drug_route","Route","Qualifier Value",,"VG","1970-01-01","2099-12-31",,4057765,"Maps to","Mapped from","1970-01-01","2099-12-31",
"NAS",2000002034,"mimiciv_drug_route","Route","Qualifier Value",,"NAS","1970-01-01","2099-12-31",,4262914,"Maps to","Mapped from","1970-01-01","2099-12-31",
"BUCCAL",2000002035,"mimiciv_drug_route","Route","Qualifier Value",,"BUCCAL","1970-01-01","2099-12-31",,4181897,"Maps to","Mapped from","1970-01-01","2099-12-31",
