concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
SR (Sinus Rhythm),2000032001,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,SR (Sinus Rhythm),1970-01-01,2099-12-31,,4145513,Maps to,Mapped from,1970-01-01,2099-12-31,
ST (Sinus Tachycardia),2000032002,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,ST (Sinus Tachycardia),1970-01-01,2099-12-31,,4140598,Maps to,Mapped from,1970-01-01,2099-12-31,
AF (Atrial Fibrillation),2000032003,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,AF (Atrial Fibrillation),1970-01-01,2099-12-31,,4064452,Maps to,Mapped from,1970-01-01,2099-12-31,
SB (Sinus Bradycardia),2000032004,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,SB (Sinus Bradycardia),1970-01-01,2099-12-31,,4138456,Maps to,Mapped from,1970-01-01,2099-12-31,
V Paced,2000032005,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,V Paced,1970-01-01,2099-12-31,,4092038,Maps to,Mapped from,1970-01-01,2099-12-31,
1st AV (First degree AV Block),2000032006,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,1st AV (First degree AV Block),1970-01-01,2099-12-31,,316135,Maps to,Mapped from,1970-01-01,2099-12-31,
A Paced,2000032007,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,A Paced,1970-01-01,2099-12-31,,4089488,Maps to,Mapped from,1970-01-01,2099-12-31,
AV Paced,2000032008,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,AV Paced,1970-01-01,2099-12-31,,4088998,Maps to,Mapped from,1970-01-01,2099-12-31,
A Flut (Atrial Flutter),2000032009,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,A Flut (Atrial Flutter),1970-01-01,2099-12-31,,4065288,Maps to,Mapped from,1970-01-01,2099-12-31,
RBBB (Right Bundle Branch Block),2000032010,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,RBBB (Right Bundle Branch Block),1970-01-01,2099-12-31,,4064460,Maps to,Mapped from,1970-01-01,2099-12-31,
LBBB (Left Bundle Branch Block),2000032011,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,LBBB (Left Bundle Branch Block),1970-01-01,2099-12-31,,4064614,Maps to,Mapped from,1970-01-01,2099-12-31,
SA (Sinus Arrhythmia),2000032012,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,SA (Sinus Arrhythmia),1970-01-01,2099-12-31,,4141820,Maps to,Mapped from,1970-01-01,2099-12-31,
JR (Junctional Rhythm),2000032013,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,JR (Junctional Rhythm),1970-01-01,2099-12-31,,4140001,Maps to,Mapped from,1970-01-01,2099-12-31,
3rd AV (Complete Heart Block),2000032014,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,3rd AV (Complete Heart Block),1970-01-01,2099-12-31,,4064874,Maps to,Mapped from,1970-01-01,2099-12-31,
SVT (Supra Ventricular Tachycardia),2000032015,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,SVT (Supra Ventricular Tachycardia),1970-01-01,2099-12-31,,4145510,Maps to,Mapped from,1970-01-01,2099-12-31,
2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),2000032016,mimiciv_cond_chartevents_value,Condition,Clinical Finding,,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),1970-01-01,2099-12-31,,4064459,Maps to,Mapped from,1970-01-01,2099-12-31,
