"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"SR (Sinus Rhythm)",2000031001,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"SR (Sinus Rhythm)","1970-01-01","2099-12-31",,45877096,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ST (Sinus Tachycardia)",2000031002,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"ST (Sinus Tachycardia)","1970-01-01","2099-12-31",,45879290,"Maps to","Mapped from","1970-01-01","2099-12-31",
"AF (Atrial Fibrillation)",2000031003,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"AF (Atrial Fibrillation)","1970-01-01","2099-12-31",,45883018,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SB (Sinus Bradycardia)",2000031004,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"SB (Sinus Bradycardia)","1970-01-01","2099-12-31",,21499419,"Maps to","Mapped from","1970-01-01","2099-12-31",
"1st AV (First degree AV Block)",2000031005,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"1st AV (First degree AV Block)","1970-01-01","2099-12-31",,45884784,"Maps to","Mapped from","1970-01-01","2099-12-31",
"A Flut (Atrial Flutter)",2000031006,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"A Flut (Atrial Flutter)","1970-01-01","2099-12-31",,45883019,"Maps to","Mapped from","1970-01-01","2099-12-31",
"RBBB (Right Bundle Branch Block)",2000031007,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"RBBB (Right Bundle Branch Block)","1970-01-01","2099-12-31",,45883022,"Maps to","Mapped from","1970-01-01","2099-12-31",
"LBBB (Left Bundle Branch Block)",2000031008,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"LBBB (Left Bundle Branch Block)","1970-01-01","2099-12-31",,45883893,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SA (Sinus Arrhythmia)",2000031009,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"SA (Sinus Arrhythmia)","1970-01-01","2099-12-31",,45884787,"Maps to","Mapped from","1970-01-01","2099-12-31",
"JR (Junctional Rhythm)",2000031010,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"JR (Junctional Rhythm)","1970-01-01","2099-12-31",,45881038,"Maps to","Mapped from","1970-01-01","2099-12-31",
"3rd AV (Complete Heart Block)",2000031011,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"3rd AV (Complete Heart Block)","1970-01-01","2099-12-31",,45884786,"Maps to","Mapped from","1970-01-01","2099-12-31",
"SVT (Supra Ventricular Tachycardia)",2000031012,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"SVT (Supra Ventricular Tachycardia)","1970-01-01","2099-12-31",,45883894,"Maps to","Mapped from","1970-01-01","2099-12-31",
"2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1)",2000031013,"mimiciv_meas_chartevents_value","Meas Value","Answer",,"2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1)","1970-01-01","2099-12-31",,45884785,"Maps to","Mapped from","1970-01-01","2099-12-31",
"1st AV (First degree AV Block)",2000031014,"mimiciv_meas_chartevents_value","Condition","Clinical Finding",,"1st AV (First degree AV Block)","1970-01-01","2099-12-31",,316135,"Maps to","Mapped from","1970-01-01","2099-12-31",
"2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1)",2000031015,"mimiciv_meas_chartevents_value","Condition","Clinical Finding",,"2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1)","1970-01-01","2099-12-31",,4064459,"Maps to","Mapped from","1970-01-01","2099-12-31",
"3rd AV (Complete Heart Block)",2000031016,"mimiciv_meas_chartevents_value","Condition","Clinical Finding",,"3rd AV (Complete Heart Block)","1970-01-01","2099-12-31",,4064874,"Maps to","Mapped from","1970-01-01","2099-12-31",
"A Flut (Atrial Flutter)",2000031017,"mimiciv_meas_chartevents_value","Condition","Clinical Finding",,"A Flut (Atrial Flutter)","1970-01-01","2099-12-31",,4065288,"Maps to","Mapped from","1970-01-01","2099-12-31",
