"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"Heart rate",2000041001,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL HEART RATE","1970-01-01","2099-12-31",,3027018,"Maps to","Mapped from","1970-01-01","2099-12-31",
"P-R Interval",2000041002,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL PR INT","1970-01-01","2099-12-31",,3007794,"Maps to","Mapped from","1970-01-01","2099-12-31",
"QRS axis",2000041003,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL QRS AXIS","1970-01-01","2099-12-31",,3006277,"Maps to","Mapped from","1970-01-01","2099-12-31",
"QRS duration",2000041004,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL QRS Dur","1970-01-01","2099-12-31",,3022022,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Q-T interval",2000041005,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL QT","1970-01-01","2099-12-31",,3025809,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Q-T interval corrected",2000041006,"mimiciv_meas_wf","Measurement","Clinical Observation",,"GLOBAL QTc","1970-01-01","2099-12-31",,3026258,"Maps to","Mapped from","1970-01-01","2099-12-31",
"QRS terminal amplitude in lead I",2000041007,"mimiciv_meas_wf","Measurement","Clinical Observation",,"I F AMP","1970-01-01","2099-12-31",,3009858,"Maps to","Mapped from","1970-01-01","2099-12-31",
"QRS initial amplitude in lead I",2000041008,"mimiciv_meas_wf","Measurement","Clinical Observation",,"I I AMP","1970-01-01","2099-12-31",,3025807,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Q wave depth in lead I",2000041009,"mimiciv_meas_wf","Measurement","Clinical Observation",,"I Q AMP","1970-01-01","2099-12-31",,3036176,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Q wave duration in lead I",2000041010,"mimiciv_meas_wf","Measurement","Clinical Observation",,"I Q DUR","1970-01-01","2099-12-31",,3037087,"Maps to","Mapped from","1970-01-01","2099-12-31",
