concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
URINE CULTURE,2000028001,mimiciv_micro_microtest,Measurement,Procedure,,URINE CULTURE,1970-01-01,2099-12-31,,4024509,Maps to,Mapped from,1970-01-01,2099-12-31,
"Blood Culture, Routine",2000028002,mimiciv_micro_microtest,Measurement,Procedure,,"Blood Culture, Routine",1970-01-01,2099-12-31,,4107893,Maps to,Mapped from,1970-01-01,2099-12-31,
WOUND CULTURE,2000028003,mimiciv_micro_microtest,Measurement,Procedure,,WOUND CULTURE,1970-01-01,2099-12-31,,4189544,Maps to,Mapped from,1970-01-01,2099-12-31,
FLUID CULTURE,2000028004,mimiciv_micro_microtest,Measurement,Procedure,,FLUID CULTURE,1970-01-01,2099-12-31,,4024510,Maps to,Mapped from,1970-01-01,2099-12-31,
TISSUE,2000028005,mimiciv_micro_microtest,Measurement,Procedure,,TISSUE,1970-01-01,2099-12-31,,4300293,Maps to,Mapped from,1970-01-01,2099-12-31,
MRSA SCREEN,2000028006,mimiciv_micro_microtest,Measurement,Procedure,,MRSA SCREEN,1970-01-01,2099-12-31,,4296650,Maps to,Mapped from,1970-01-01,2099-12-31,
ANAEROBIC CULTURE,2000028007,mimiciv_micro_microtest,Measurement,Procedure,,ANAEROBIC CULTURE,1970-01-01,2099-12-31,,4036044,Maps to,Mapped from,1970-01-01,2099-12-31,
RESPIRATORY CULTURE,2000028008,mimiciv_micro_microtest,Measurement,Procedure,,RESPIRATORY CULTURE,1970-01-01,2099-12-31,,4035228,Maps to,Mapped from,1970-01-01,2099-12-31,
YEAST VAGINITIS CULTURE,2000028009,mimiciv_micro_microtest,Measurement,Procedure,,YEAST VAGINITIS CULTURE,1970-01-01,2099-12-31,,4046245,Maps to,Mapped from,1970-01-01,2099-12-31,
FUNGAL CULTURE,2000028010,mimiciv_micro_microtest,Measurement,Procedure,,FUNGAL CULTURE,1970-01-01,2099-12-31,,4165398,Maps to,Mapped from,1970-01-01,2099-12-31,
"Blood Culture, Neonate",2000028011,mimiciv_micro_microtest,Measurement,Procedure,,"Blood Culture, Neonate",1970-01-01,2099-12-31,,4107893,Maps to,Mapped from,1970-01-01,2099-12-31,
C. difficile DNA amplification assay,2000028012,mimiciv_micro_microtest,Measurement,Procedure,,C. difficile DNA amplification assay,1970-01-01,2099-12-31,,4247906,Maps to,Mapped from,1970-01-01,2099-12-31,
VIRAL CULTURE: R/O HERPES SIMPLEX VIRUS,2000028013,mimiciv_micro_microtest,Measurement,Procedure,,VIRAL CULTURE: R/O HERPES SIMPLEX VIRUS,1970-01-01,2099-12-31,,4047154,Maps to,Mapped from,1970-01-01,2099-12-31,
R/O VANCOMYCIN RESISTANT ENTEROCOCCUS,2000028014,mimiciv_micro_microtest,Measurement,Procedure,,R/O VANCOMYCIN RESISTANT ENTEROCOCCUS,1970-01-01,2099-12-31,,4304958,Maps to,Mapped from,1970-01-01,2099-12-31,
OVA + PARASITES,2000028015,mimiciv_micro_microtest,Measurement,Procedure,,OVA + PARASITES,1970-01-01,2099-12-31,,4304804,Maps to,Mapped from,1970-01-01,2099-12-31,
AEROBIC BOTTLE,2000028016,mimiciv_micro_microtest,Measurement,Procedure,,AEROBIC BOTTLE,1970-01-01,2099-12-31,,4035113,Maps to,Mapped from,1970-01-01,2099-12-31,
FUNGAL CULTURE (HAIR/SKIN/NAILS),2000028017,mimiciv_micro_microtest,Measurement,Procedure,,FUNGAL CULTURE (HAIR/SKIN/NAILS),1970-01-01,2099-12-31,,4165398,Maps to,Mapped from,1970-01-01,2099-12-31,
C. difficile Toxin antigen assay,2000028018,mimiciv_micro_microtest,Measurement,Procedure,,C. difficile Toxin antigen assay,1970-01-01,2099-12-31,,4327663,Maps to,Mapped from,1970-01-01,2099-12-31,
ANAEROBIC BOTTLE,2000028019,mimiciv_micro_microtest,Measurement,Procedure,,ANAEROBIC BOTTLE,1970-01-01,2099-12-31,,4036044,Maps to,Mapped from,1970-01-01,2099-12-31,
FECAL CULTURE,2000028020,mimiciv_micro_microtest,Measurement,Procedure,,FECAL CULTURE,1970-01-01,2099-12-31,,4024963,Maps to,Mapped from,1970-01-01,2099-12-31,
BLOOD/FUNGAL CULTURE,2000028021,mimiciv_micro_microtest,Measurement,Procedure,,BLOOD/FUNGAL CULTURE,1970-01-01,2099-12-31,,4165398,Maps to,Mapped from,1970-01-01,2099-12-31,
VIRAL CULTURE,2000028022,mimiciv_micro_microtest,Measurement,Procedure,,VIRAL CULTURE,1970-01-01,2099-12-31,,4130349,Maps to,Mapped from,1970-01-01,2099-12-31,
CAMPYLOBACTER CULTURE,2000028023,mimiciv_micro_microtest,Measurement,Procedure,,CAMPYLOBACTER CULTURE,1970-01-01,2099-12-31,,4045656,Maps to,Mapped from,1970-01-01,2099-12-31,
