"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
44491008,2000003001,"mimiciv_proc_itemid","Procedure","Procedure",,225440,"1970-01-01","2099-12-31",,4195288,"Maps to","Mapped from","1970-01-01","2099-12-31",
105376000,2000003002,"mimiciv_proc_itemid","Procedure","Procedure",,221255,"1970-01-01","2099-12-31",,4019824,"Maps to","Mapped from","1970-01-01","2099-12-31",
450432001,2000003003,"mimiciv_proc_itemid","Procedure","Procedure",,228130,"1970-01-01","2099-12-31",,42872441,"Maps to","Mapped from","1970-01-01","2099-12-31",
26763009,2000003004,"mimiciv_proc_itemid","Procedure","Procedure",,225792,"1970-01-01","2099-12-31",,4097246,"Maps to","Mapped from","1970-01-01","2099-12-31",
258528007,2000003005,"mimiciv_proc_itemid","Procedure","Procedure",,225967,"1970-01-01","2099-12-31",,4124280,"Maps to","Mapped from","1970-01-01","2099-12-31",
87317003,2000003006,"mimiciv_proc_itemid","Procedure","Procedure",,225475,"1970-01-01","2099-12-31",,317109,"Maps to","Mapped from","1970-01-01","2099-12-31",
240917005,2000003007,"mimiciv_proc_itemid","Procedure","Procedure",,225462,"1970-01-01","2099-12-31",,4081708,"Maps to","Mapped from","1970-01-01","2099-12-31",
284394000,2000003008,"mimiciv_proc_itemid","Procedure","Procedure",,227715,"1970-01-01","2099-12-31",,4111530,"Maps to","Mapped from","1970-01-01","2099-12-31",
284394000,2000003009,"mimiciv_proc_itemid","Procedure","Procedure",,225463,"1970-01-01","2099-12-31",,4111530,"Maps to","Mapped from","1970-01-01","2099-12-31",
284405008,2000003010,"mimiciv_proc_itemid","Procedure","Procedure",,225820,"1970-01-01","2099-12-31",,4109351,"Maps to","Mapped from","1970-01-01","2099-12-31",
284405008,2000003011,"mimiciv_proc_itemid","Procedure","Procedure",,225460,"1970-01-01","2099-12-31",,4109351,"Maps to","Mapped from","1970-01-01","2099-12-31",
4970003,2000003012,"mimiciv_proc_itemid","Procedure","Procedure",,221219,"1970-01-01","2099-12-31",,4175809,"Maps to","Mapped from","1970-01-01","2099-12-31",
423786009,2000003013,"mimiciv_proc_itemid","Procedure","Procedure",,225789,"1970-01-01","2099-12-31",,4309701,"Maps to","Mapped from","1970-01-01","2099-12-31",
10847001,2000003014,"mimiciv_proc_itemid","Procedure","Procedure",,225400,"1970-01-01","2099-12-31",,4032404,"Maps to","Mapped from","1970-01-01","2099-12-31",
77343006,2000003015,"mimiciv_proc_itemid","Procedure","Procedure",,225427,"1970-01-01","2099-12-31",,4299523,"Maps to","Mapped from","1970-01-01","2099-12-31",
371572003,2000003016,"mimiciv_proc_itemid","Procedure","Procedure",,225443,"1970-01-01","2099-12-31",,4155794,"Maps to","Mapped from","1970-01-01","2099-12-31",
238356005,2000003017,"mimiciv_proc_itemid","Procedure","Procedure",,227712,"1970-01-01","2099-12-31",,4030842,"Maps to","Mapped from","1970-01-01","2099-12-31",
433236007,2000003018,"mimiciv_proc_itemid","Procedure","Procedure",,225432,"1970-01-01","2099-12-31",,4335825,"Maps to","Mapped from","1970-01-01","2099-12-31",
398068008,2000003019,"mimiciv_proc_itemid","Procedure","Procedure",,225470,"1970-01-01","2099-12-31",,4162219,"Maps to","Mapped from","1970-01-01","2099-12-31",
53438000,2000003020,"mimiciv_proc_itemid","Procedure","Procedure",,225450,"1970-01-01","2099-12-31",,4205728,"Maps to","Mapped from","1970-01-01","2099-12-31",
122462000,2000003021,"mimiciv_proc_itemid","Procedure","Procedure",,225447,"1970-01-01","2099-12-31",,4046266,"Maps to","Mapped from","1970-01-01","2099-12-31",
386718000,2000003022,"mimiciv_proc_itemid","Procedure","Procedure",,227550,"1970-01-01","2099-12-31",,4304943,"Maps to","Mapped from","1970-01-01","2099-12-31",
711070007,2000003023,"mimiciv_proc_itemid","Procedure","Procedure",,228125,"1970-01-01","2099-12-31",,46272666,"Maps to","Mapped from","1970-01-01","2099-12-31",
711070007,2000003024,"mimiciv_proc_itemid","Procedure","Procedure",,228228,"1970-01-01","2099-12-31",,46272666,"Maps to","Mapped from","1970-01-01","2099-12-31",
112798008,2000003025,"mimiciv_proc_itemid","Procedure","Procedure",,224385,"1970-01-01","2099-12-31",,4013354,"Maps to","Mapped from","1970-01-01","2099-12-31",
432019001,2000003026,"mimiciv_proc_itemid","Procedure","Procedure",,225315,"1970-01-01","2099-12-31",,4329775,"Maps to","Mapped from","1970-01-01","2099-12-31",
432019001,2000003027,"mimiciv_proc_itemid","Procedure","Procedure",,225203,"1970-01-01","2099-12-31",,4329775,"Maps to","Mapped from","1970-01-01","2099-12-31",
423827005,2000003028,"mimiciv_proc_itemid","Procedure","Procedure",,225439,"1970-01-01","2099-12-31",,4313889,"Maps to","Mapped from","1970-01-01","2099-12-31",
86259008,2000003029,"mimiciv_proc_itemid","Procedure","Procedure",,225442,"1970-01-01","2099-12-31",,4314001,"Maps to","Mapped from","1970-01-01","2099-12-31",
430824005,2000003030,"mimiciv_proc_itemid","Procedure","Procedure",,228286,"1970-01-01","2099-12-31",,4326816,"Maps to","Mapped from","1970-01-01","2099-12-31",
398205000,2000003031,"mimiciv_proc_itemid","Procedure","Procedure",,225819,"1970-01-01","2099-12-31",,4160041,"Maps to","Mapped from","1970-01-01","2099-12-31",
399208008,2000003032,"mimiciv_proc_itemid","Procedure","Procedure",,225459,"1970-01-01","2099-12-31",,4163872,"Maps to","Mapped from","1970-01-01","2099-12-31",
410429000,2000003033,"mimiciv_proc_itemid","Procedure","Procedure",,225466,"1970-01-01","2099-12-31",,321042,"Maps to","Mapped from","1970-01-01","2099-12-31",
